code,effective_date
000969,2006-04-03
000970,2006-04-03
000975,2006-04-03
000983,2006-04-03
002024,2006-04-03
600000,2006-04-28
600001,2006-04-28
600004,2006-04-28
600005,2006-04-28
600006,2006-04-28
600007,2006-04-28
600008,2006-04-28
600009,2006-04-28
600010,2006-04-28
600011,2006-04-28
600012,2006-04-28
600015,2006-04-28
600016,2006-04-28
600018,2006-04-28
600019,2006-04-28
600020,2006-04-28
600021,2006-04-28
600022,2006-04-28
600026,2006-04-28
600027,2006-04-28
600028,2006-04-28
600029,2006-04-28
600030,2006-04-28
600031,2006-04-28
600033,2006-04-28
600035,2006-04-28
600036,2006-04-28
600037,2006-04-28
600050,2006-04-28
600057,2006-04-28
600058,2006-04-28
600060,2006-04-28
600062,2006-04-28
600068,2006-04-28
600073,2006-04-28
600078,2006-04-28
600085,2006-04-28
600087,2006-04-28
600088,2006-04-28
600089,2006-04-28
600091,2006-04-28
600096,2006-04-28
600098,2006-04-28
600100,2006-04-28
600102,2006-04-28
600103,2006-04-28
600104,2006-04-28
600108,2006-04-28
600110,2006-04-28
600115,2006-04-28
600117,2006-04-28
600121,2006-04-28
600123,2006-04-28
600125,2006-04-28
600126,2006-04-28
600138,2006-04-28
600153,2006-04-28
600166,2006-04-28
600170,2006-04-28
600171,2006-04-28
600177,2006-04-28
600183,2006-04-28
600188,2006-04-28
600190,2006-04-28
600196,2006-04-28
600198,2006-04-28
600200,2006-04-28
600205,2006-04-28
600207,2006-04-28
600210,2006-04-28
600215,2006-04-28
600220,2006-04-28
600221,2006-04-28
600231,2006-04-28
600236,2006-04-28
600256,2006-04-28
600266,2006-04-28
600267,2006-04-28
600269,2006-04-28
600270,2006-04-28
600271,2006-04-28
600282,2006-04-28
600296,2006-04-28
600307,2006-04-28
600308,2006-04-28
600309,2006-04-28
600320,2006-04-28
600331,2006-04-28
600333,2006-04-28
600339,2006-04-28
600348,2006-04-28
600350,2006-04-28
600357,2006-04-28
600362,2006-04-28
600377,2006-04-28
600380,2006-04-28
600383,2006-04-28
600399,2006-04-28
600408,2006-04-28
600418,2006-04-28
600428,2006-04-28
600500,2006-04-28
600508,2006-04-28
600519,2006-04-28
600548,2006-04-28
600550,2006-04-28
600569,2006-04-28
600581,2006-04-28
600583,2006-04-28
600585,2006-04-28
600591,2006-04-28
600597,2006-04-28
600598,2006-04-28
600600,2006-04-28
600601,2006-04-28
600602,2006-04-28
600608,2006-04-28
600621,2006-04-28
600627,2006-04-28
600631,2006-04-28
600635,2006-04-28
600637,2006-04-28
600639,2006-04-28
600642,2006-04-28
600643,2006-04-28
600649,2006-04-28
600652,2006-04-28
600653,2006-04-28
600654,2006-04-28
600660,2006-04-28
600662,2006-04-28
600663,2006-04-28
600674,2006-04-28
600675,2006-04-28
600688,2006-04-28
600690,2006-04-28
600694,2006-04-28
600705,2006-04-28
600707,2006-04-28
600717,2006-04-28
600718,2006-04-28
600724,2006-04-28
600726,2006-04-28
600739,2006-04-28
600740,2006-04-28
600741,2006-04-28
600744,2006-04-28
600747,2006-04-28
600770,2006-04-28
600779,2006-04-28
600780,2006-04-28
600786,2006-04-28
600790,2006-04-28
600795,2006-04-28
600797,2006-04-28
600805,2006-04-28
600808,2006-04-28
600811,2006-04-28
600812,2006-04-28
600820,2006-04-28
600832,2006-04-28
600835,2006-04-28
600839,2006-04-28
600851,2006-04-28
600854,2006-04-28
600863,2006-04-28
600866,2006-04-28
600868,2006-04-28
600871,2006-04-28
600874,2006-04-28
600879,2006-04-28
600881,2006-04-28
600884,2006-04-28
600886,2006-04-28
600887,2006-04-28
600894,2006-04-28
600895,2006-04-28
600900,2006-04-28
600997,2006-04-28
601607,2006-04-28
000001,2006-04-28
000002,2006-04-28
000009,2006-04-28
000012,2006-04-28
000016,2006-04-28
000021,2006-04-28
000022,2006-04-28
000024,2006-04-28
000027,2006-04-28
000031,2006-04-28
000036,2006-04-28
000039,2006-04-28
000059,2006-04-28
000060,2006-04-28
000061,2006-04-28
000063,2006-04-28
000066,2006-04-28
000068,2006-04-28
000069,2006-04-28
000088,2006-04-28
000089,2006-04-28
000099,2006-04-28
000100,2006-04-28
000157,2006-04-28
000400,2006-04-28
000401,2006-04-28
000402,2006-04-28
000410,2006-04-28
000422,2006-04-28
000423,2006-04-28
000425,2006-04-28
000429,2006-04-28
000488,2006-04-28
000503,2006-04-28
000507,2006-04-28
000511,2006-04-28
000518,2006-04-28
000520,2006-04-28
000527,2006-04-28
000528,2006-04-28
000533,2006-04-28
000538,2006-04-28
000539,2006-04-28
000541,2006-04-28
000543,2006-04-28
000550,2006-04-28
000559,2006-04-28
000568,2006-04-28
000571,2006-04-28
000573,2006-04-28
000581,2006-04-28
000599,2006-04-28
000601,2006-04-28
000607,2006-04-28
000623,2006-04-28
000625,2006-04-28
000629,2006-04-28
000630,2006-04-28
000636,2006-04-28
000651,2006-04-28
000652,2006-04-28
000659,2006-04-28
000666,2006-04-28
000680,2006-04-28
000682,2006-04-28
000698,2006-04-28
000707,2006-04-28
000708,2006-04-28
000709,2006-04-28
000717,2006-04-28
000725,2006-04-28
000726,2006-04-28
000727,2006-04-28
000729,2006-04-28
000733,2006-04-28
000735,2006-04-28
000737,2006-04-28
000758,2006-04-28
000767,2006-04-28
000768,2006-04-28
000778,2006-04-28
000780,2006-04-28
000786,2006-04-28
000792,2006-04-28
000793,2006-04-28
000800,2006-04-28
000806,2006-04-28
000807,2006-04-28
000822,2006-04-28
000825,2006-04-28
000828,2006-04-28
000839,2006-04-28
000858,2006-04-28
000869,2006-04-28
000875,2006-04-28
000878,2006-04-28
000886,2006-04-28
000895,2006-04-28
000898,2006-04-28
000900,2006-04-28
000912,2006-04-28
000916,2006-04-28
000917,2006-04-28
000920,2006-04-28
000927,2006-04-28
000930,2006-04-28
000932,2006-04-28
000933,2006-04-28
000937,2006-04-28
000939,2006-04-28
000949,2006-04-28
000959,2006-04-28
000960,2006-04-28
000962,2006-04-28
000968,2006-04-28
000969,2006-04-28
000970,2006-04-28
000975,2006-04-28
000983,2006-04-28
002024,2006-04-28
600000,2006-10-01
600001,2006-10-01
600004,2006-10-01
600005,2006-10-01
600006,2006-10-01
600008,2006-10-01
600009,2006-10-01
600010,2006-10-01
600011,2006-10-01
600012,2006-10-01
600015,2006-10-01
600016,2006-10-01
600018,2006-10-01
600019,2006-10-01
600020,2006-10-01
600021,2006-10-01
600022,2006-10-01
600026,2006-10-01
600027,2006-10-01
600028,2006-10-01
600029,2006-10-01
600030,2006-10-01
600031,2006-10-01
600033,2006-10-01
600035,2006-10-01
600036,2006-10-01
600037,2006-10-01
600050,2006-10-01
600057,2006-10-01
600058,2006-10-01
600060,2006-10-01
600062,2006-10-01
600073,2006-10-01
600078,2006-10-01
600085,2006-10-01
600087,2006-10-01
600088,2006-10-01
600089,2006-10-01
600091,2006-10-01
600096,2006-10-01
600098,2006-10-01
600100,2006-10-01
600102,2006-10-01
600104,2006-10-01
600108,2006-10-01
600110,2006-10-01
600115,2006-10-01
600117,2006-10-01
600121,2006-10-01
600123,2006-10-01
600125,2006-10-01
600126,2006-10-01
600132,2006-10-01
600138,2006-10-01
600143,2006-10-01
600151,2006-10-01
600153,2006-10-01
600166,2006-10-01
600170,2006-10-01
600171,2006-10-01
600177,2006-10-01
600183,2006-10-01
600188,2006-10-01
600196,2006-10-01
600198,2006-10-01
600205,2006-10-01
600207,2006-10-01
600210,2006-10-01
600215,2006-10-01
600220,2006-10-01
600221,2006-10-01
600231,2006-10-01
600236,2006-10-01
600256,2006-10-01
600266,2006-10-01
600267,2006-10-01
600269,2006-10-01
600270,2006-10-01
600271,2006-10-01
600276,2006-10-01
600282,2006-10-01
600296,2006-10-01
600299,2006-10-01
600307,2006-10-01
600308,2006-10-01
600309,2006-10-01
600320,2006-10-01
600331,2006-10-01
600333,2006-10-01
600339,2006-10-01
600348,2006-10-01
600350,2006-10-01
600357,2006-10-01
600361,2006-10-01
600362,2006-10-01
600377,2006-10-01
600383,2006-10-01
600399,2006-10-01
600406,2006-10-01
600408,2006-10-01
600410,2006-10-01
600415,2006-10-01
600418,2006-10-01
600428,2006-10-01
600456,2006-10-01
600460,2006-10-01
600498,2006-10-01
600500,2006-10-01
600508,2006-10-01
600519,2006-10-01
600521,2006-10-01
600535,2006-10-01
600548,2006-10-01
600549,2006-10-01
600550,2006-10-01
600569,2006-10-01
600578,2006-10-01
600581,2006-10-01
600583,2006-10-01
600585,2006-10-01
600588,2006-10-01
600591,2006-10-01
600597,2006-10-01
600598,2006-10-01
600600,2006-10-01
600601,2006-10-01
600602,2006-10-01
600616,2006-10-01
600621,2006-10-01
600627,2006-10-01
600628,2006-10-01
600631,2006-10-01
600635,2006-10-01
600637,2006-10-01
600639,2006-10-01
600642,2006-10-01
600643,2006-10-01
600649,2006-10-01
600652,2006-10-01
600653,2006-10-01
